DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2013-0192-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2013-000070,,IND,India,Southern Asia,Asia,"Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",Yes,No,No,,131743.41,Km2,32.714,76.61,"Ganges, Yamuna, Ghaghara tivers",2013,6.0,12.0,2013,6.0,27.0,6054.0,4473.0,500000.0,,504473.0,,,500000.0,653987.0,1100000.0,1438771.0,76.45414599,"[{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]",2014-07-29,2023-09-25
2013-0260-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Sultanpur, Sitapur, Rae Bareli, Bara Banki, Faizabad, Gorakhpur, Basti, Kushinagar, Bahraich, Gonda, Shravasti districts (Uttar Pradesh province)",Monsoon rains,,No,No,No,,,Km2,,,"Ganges, Ghagra, Kuano, Saryu, Sharda",2013,7.0,9.0,2013,7.0,10.0,174.0,,500000.0,,500000.0,,,,,2000.0,2616.0,76.45414599,"[{""adm2_code"":17893,""adm2_name"":""Bahraich""},{""adm2_code"":17896,""adm2_name"":""Bara Banki""},{""adm2_code"":17898,""adm2_name"":""Basti""},{""adm2_code"":17907,""adm2_name"":""Faizabad""},{""adm2_code"":17913,""adm2_name"":""Gonda""},{""adm2_code"":17914,""adm2_name"":""Gorakhpur""},{""adm2_code"":17934,""adm2_name"":""Rae Bareli""},{""adm2_code"":17938,""adm2_name"":""Sitapur""},{""adm2_code"":17939,""adm2_name"":""Sultanpur""},{""adm2_code"":70271,""adm2_name"":""Kushinagar""},{""adm2_code"":70277,""adm2_name"":""Shravasti""}]",2013-11-28,2023-09-25
2013-0282-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Dhemaji, Tinsukia, Nagaon, Golaghat, Jorhat, Kamrup, Karimganj, Lakhimpur, Morigaon, Sibsaga, Bongaigaon, Kokrajhar districts (Assam province)",Monsoonal rain,,No,No,No,,38019.26,Km2,27.387,94.92,,2013,6.0,23.0,2013,7.0,15.0,80.0,,2000000.0,,2000000.0,,,,,,,76.45414599,"[{""adm2_code"":17582,""adm2_name"":""Golaghat""},{""adm2_code"":17583,""adm2_name"":""Kamrup""},{""adm2_code"":17585,""adm2_name"":""Karimganj""},{""adm2_code"":17589,""adm2_name"":""Nagaon""},{""adm2_code"":17592,""adm2_name"":""Sibsagar""},{""adm2_code"":70086,""adm2_name"":""Bongaigaon""},{""adm2_code"":70087,""adm2_name"":""Dhemaji""},{""adm2_code"":70089,""adm2_name"":""Jorhat""},{""adm2_code"":70090,""adm2_name"":""Kokrajhar""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""},{""adm2_code"":70092,""adm2_name"":""Marigaon""},{""adm2_code"":70093,""adm2_name"":""Tinsukia""}]",2014-03-20,2023-09-25
2013-0345-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Bhopal, Hoshangabad, Seoni, Narsinghpur, Jabalpur districts (Madhya Pradesh province), Uttar Pradesh, Assam provinces",Monsoon rains,,No,No,No,,,Km2,,,Narmada and Betwa rivers,2013,8.0,22.0,2013,8.0,27.0,73.0,,40000.0,,40000.0,,,,,,,76.45414599,"[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm2_code"":17716,""adm2_name"":""Bhopal""},{""adm2_code"":17728,""adm2_name"":""Hoshangabad""},{""adm2_code"":17730,""adm2_name"":""Jabalpur""},{""adm2_code"":17735,""adm2_name"":""Narsinghpur""},{""adm2_code"":17747,""adm2_name"":""Seoni""}]",2014-03-20,2023-09-25
2013-0400-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Orissa, Andhra Pradesh, West Bengal provinces",Monsoonal rain,,No,No,No,,,Km2,,,,2013,10.0,21.0,2013,10.0,26.0,72.0,,375000.0,,375000.0,,,,,260000.0,340073.0,76.45414599,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1511,""adm1_name"":""West Bengal""}]",2013-11-13,2023-09-25
2014-0218-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Assam province,Heavy monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,,49220.0,Km2,,,Brahmaputra,2014,6.0,26.0,2014,6.0,28.0,27.0,,18500.0,,18500.0,,,,,2000.0,2574.0,77.69440613,"[{""adm1_code"":1487,""adm1_name"":""Assam""}]",2014-07-16,2023-09-25
2014-0268-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Uttarakhand, Himachal Pradesh provinces",Excessive rainfall,,No,No,No,,,Km2,,,Sharda river,2014,7.0,16.0,2014,7.0,22.0,26.0,,,,,,,,,,,77.69440613,"[{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]",2014-08-28,2023-09-25
2014-0313-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Orissa province,Torrential monsoonal rain,,No,No,No,,,Km2,,,"Mahanadi, Baitarani, Budha",2014,8.0,3.0,2014,8.0,4.0,35.0,,179000.0,,179000.0,,,,,200000.0,257419.0,77.69440613,"[{""adm1_code"":1504,""adm1_name"":""Orissa""}]",2014-09-23,2023-09-25
2014-0343-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2014-000122,,IND,India,Southern Asia,Asia,Jammu and Kashmir provinces,Monsoonal rain,"Slide (land, mud, snow, rock)",Yes,No,No,,,Km2,,,,2014,9.0,,2014,9.0,,298.0,,275000.0,,275000.0,,,150000.0,193064.0,16000000.0,20593503.0,77.69440613,"[{""adm1_code"":40422,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40423,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40424,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40425,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40426,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40427,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40428,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40429,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40430,""adm1_name"":""Administrative unit not available""},{""adm1_code"":40431,""adm1_name"":""Administrative unit not available""}]",2014-10-01,2023-09-25
2014-0391-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Tura village (West Garo Hills district, Meghalaya province), Goalpara, Kamrup districts (Assam province)",Torrential monsoonal rains; Typhoon Kalmaegi,"Slide (land, mud, snow, rock)",No,No,No,,61894.97,Km2,,,,2014,9.0,24.0,2014,10.0,11.0,95.0,,,650000.0,650000.0,,,,,163000.0,209796.0,77.69440613,"[{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17583,""adm2_name"":""Kamrup""},{""adm2_code"":17796,""adm2_name"":""West Garo Hills""}]",2014-10-10,2023-09-25
